freqs,times,roi,power,degree,coreness,efficiency
11.0,0,V1,-0.36146933,-0.43370155,0.42438748,-1.463438
11.0,0,LIP,-1.9203517,-0.396794,0.32296196,-0.5576863
11.0,0,a24c,-1.6743008,-2.067171,-0.5375256,-0.59776264
11.0,0,STPc,-0.78429097,2.655276,2.0964568,2.3587728
11.0,0,VIP,0.4584601,0.84036684,0.9482886,-1.4509121
11.0,0,Thal,0.07817817,-2.6239927,-4.6306953,-1.8730416
11.0,0,MST,-0.03812876,-2.2849426,-0.60542613,-0.66154784
11.0,0,a46V,-1.3172427,0.3183006,-0.6795351,-0.30159044
11.0,0,Putamen,-0.66272676,-2.404072,-2.8059196,-0.8630576
11.0,0,Ins,-1.5472672,-2.3024206,-2.1091158,-2.2094028
11.0,0,Caudate,0.024612421,-1.7909548,-2.586919,0.335268
11.0,0,a7op,-0.32524496,-0.2642131,1.221853,0.76179
11.0,0,MB,-1.0765849,-1.6860532,-0.78362405,-1.2963302
11.0,0,a32,-0.6958608,-0.34248212,-0.6514859,-0.19100446
11.0,0,MIP,-1.5560261,-0.5990047,-0.5685117,-0.62212545
11.0,0,a13,1.0726926,-3.1678946,-1.9550021,0.83194757
11.0,0,V4,0.11606803,-0.5460034,0.4753546,-1.3063992
11.0,0,V3,-0.064042434,0.07069786,-1.6691658,-2.0132277
11.0,0,a11,0.5712959,0.17372495,-0.07801767,-0.2791841
11.0,0,a45A,-0.9175278,1.1571499,0.17040806,0.31239465
11.0,0,a24D,-2.6038587,-1.0041132,-0.4146858,-0.19639193
11.0,1,a46D,1.7612275,1.9782146,1.1625466,0.7973627
11.0,1,a8B,2.9062243,-0.17914125,-0.70880044,0.3898156
11.0,1,F6,0.7657413,-1.5733248,-0.6588364,1.8609211
11.0,1,a9/46D,1.4675711,-0.28315312,-0.58646184,-0.2802305
11.0,1,a8M,3.7788374,-1.010176,-1.8290298,0.7653112
11.0,1,F7,2.3685052,-0.9030604,-0.06652609,-1.7261877
11.0,1,a8r,4.3463326,0.9783186,-0.21821098,1.1036781
11.0,1,a8L,4.4029675,2.3582199,1.5818412,1.8807911
11.0,1,F2,1.9305316,-0.058740083,-0.42416045,-1.767951
11.0,1,a44,0.453581,-1.1191385,-0.7905886,-0.649018
11.0,1,F1,0.45393145,1.428448,1.9356636,1.0862504
11.0,1,a3,-1.0565772,-0.2801851,0.31738946,-0.41735402
11.0,1,a2,0.23710926,1.3235275,0.8934764,0.62185776
11.0,1,a1,0.21182065,-0.3084784,1.4139924,0.061561212
11.0,1,a7B,2.8599203,2.6594353,2.20654,-0.1614692
11.0,1,AIP,2.8816042,2.051478,1.2322121,1.1087482
11.0,1,a5,0.95673823,1.7938955,1.1578946,2.5278287
11.0,1,TPt,-0.1176137,1.2602952,0.9921859,0.29686153
11.0,1,a7A,3.185154,1.7662193,1.0581019,2.5809526
11.0,1,V4t,3.4814925,2.3253086,2.60912,3.0397499
11.0,1,DP,5.1689577,2.6822991,2.3731313,2.0003698
